2024-09-15 14:55:17,582 INFO    StreamThr :81822 [internal.py:wandb_internal():86] W&B internal server running at pid: 81822, started at: 2024-09-15 14:55:17.582208
2024-09-15 14:55:17,584 DEBUG   HandlerThread:81822 [handler.py:handle_request():146] handle_request: status
2024-09-15 14:55:17,585 INFO    WriterThread:81822 [datastore.py:open_for_write():85] open: /home/kim/Project-Build-an-ML-Pipeline-Starter/src/train_random_forest/wandb/run-20240915_145517-b0ea5aan/run-b0ea5aan.wandb
2024-09-15 14:55:17,586 DEBUG   SenderThread:81822 [sender.py:send():380] send: header
2024-09-15 14:55:17,586 DEBUG   SenderThread:81822 [sender.py:send():380] send: run
2024-09-15 14:55:17,820 INFO    SenderThread:81822 [dir_watcher.py:__init__():211] watching files in: /home/kim/Project-Build-an-ML-Pipeline-Starter/src/train_random_forest/wandb/run-20240915_145517-b0ea5aan/files
2024-09-15 14:55:17,820 INFO    SenderThread:81822 [sender.py:_start_run_threads():1124] run started: b0ea5aan with start time 1726426517.582546
2024-09-15 14:55:17,823 DEBUG   HandlerThread:81822 [handler.py:handle_request():146] handle_request: check_version
2024-09-15 14:55:17,823 DEBUG   SenderThread:81822 [sender.py:send_request():407] send_request: check_version
2024-09-15 14:55:17,944 DEBUG   HandlerThread:81822 [handler.py:handle_request():146] handle_request: run_start
2024-09-15 14:55:17,972 DEBUG   HandlerThread:81822 [system_info.py:__init__():32] System info init
2024-09-15 14:55:17,972 DEBUG   HandlerThread:81822 [system_info.py:__init__():47] System info init done
2024-09-15 14:55:17,972 INFO    HandlerThread:81822 [system_monitor.py:start():194] Starting system monitor
2024-09-15 14:55:17,972 INFO    SystemMonitor:81822 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-15 14:55:17,972 INFO    HandlerThread:81822 [system_monitor.py:probe():214] Collecting system info
2024-09-15 14:55:17,973 INFO    SystemMonitor:81822 [interfaces.py:start():190] Started cpu monitoring
2024-09-15 14:55:17,973 INFO    SystemMonitor:81822 [interfaces.py:start():190] Started disk monitoring
2024-09-15 14:55:17,974 INFO    SystemMonitor:81822 [interfaces.py:start():190] Started gpu monitoring
2024-09-15 14:55:17,975 INFO    SystemMonitor:81822 [interfaces.py:start():190] Started memory monitoring
2024-09-15 14:55:17,975 INFO    SystemMonitor:81822 [interfaces.py:start():190] Started network monitoring
2024-09-15 14:55:17,985 DEBUG   HandlerThread:81822 [system_info.py:probe():196] Probing system
2024-09-15 14:55:17,994 DEBUG   HandlerThread:81822 [system_info.py:_probe_git():181] Probing git
2024-09-15 14:55:17,996 DEBUG   HandlerThread:81822 [system_info.py:_probe_git():189] Probing git done
2024-09-15 14:55:17,996 DEBUG   HandlerThread:81822 [system_info.py:probe():244] Probing system done
